i; Xi; f(Xi); S; Lambda; |Xi - Xi-1|; |Yi - Yi-1|; |fi - fi-1|; Angel above X and S; Gradient; Eta 1 stroka; Eta 2 stroka
0; -3.000000 4.000000; 4916.000000; 1455.191523 -1364.242053; 0.002622; ; ; ; ; -1455.191523 1364.242053; 1.000000 0.000000; 0.000000 1.000000
1; 0.814806 0.423619; 15.337012; 2.188304 2.725210; 0.671089; 3.814806; 3.576381; 4900.662988; 2.967449; 77.804430 -77.982065; 0.470841 0.497830; 0.497830 0.531643
2; 2.283352 2.252477; 1.742321; -8.926193 6.306067; 0.002622; 1.468546; 1.828857; 13.594691; 0.414796; 8.926193 -6.306067; 1.000000 0.000000; 0.000000 1.000000
3; 2.259952 2.269008; 1.595680; -1.296891 -1.302090; 0.972753; 0.023400; 0.016531; 0.146641; 1.747948; 0.732747 1.865175; 0.500283 0.498779; 0.498779 0.502157
4; 0.998397 1.002396; 0.001601; 0.802310 -0.799079; 0.002622; 1.261555; 1.266613; 1.594079; 3.141592; -0.802310 0.799079; 1.000000 0.000000; 0.000000 1.000000
5; 1.000500 1.000301; 0.000004; -0.000498 -0.000299; 1.000247; 0.002103; 0.002095; 0.001597; 1.570777; 0.040849 -0.039849; 0.498738 0.498746; 0.498746 0.503758
6; 1.000002 1.000002; 0.000000; ; ; 0.000498; 0.000299; 0.000004; 2.896541; -0.000006 0.000009
