i; Xi; f(Xi); S; Lambda; |Xi - Xi-1|; |Yi - Yi-1|; |fi - fi-1|; Angel above X and S; Gradient; Eta 1 stroka; Eta 2 stroka
0; -3.000000 4.000000; -0.240602; 0.058287 -0.058287; 50.358602; ; ; ; ; -0.058287 0.058287; 1.000000 0.000000; 0.000000 1.000000
1; -0.064763 1.064763; -0.806635; 4.646469 -3.179163; 0.671089; 2.935237; 2.935237; 0.566034; 2.999696; -0.310862 -0.310862; 72.511553 -57.564526; -57.564526 47.337613
2; 3.053430 -1.068738; -0.964386; -0.044409 0.388578; 7.786810; 3.118193; 2.133501; 0.157750; 2.231595; 0.044409 -0.388578; 1.000000 0.000000; 0.000000 1.000000
3; 2.707626 1.957046; -3.774214; 4.148922 15.528457; 0.003369; 0.345804; 3.025783; 2.809828; 2.021274; -0.888178 -0.133227; 3.149194 10.147176; 10.147176 48.908745
4; 2.721606 2.009367; -3.782562; 0.754952 -0.177636; 0.354324; 0.013979; 0.052321; 0.008348; 0.683855; -0.754952 0.177636; 1.000000 0.000000; 0.000000 1.000000
5; 2.989104 1.946426; -3.900711; 0.053644 0.145465; 0.167914; 0.267498; 0.062941; 0.118149; 0.867063; 0.000000 -0.177636; 0.496438 0.301991; 0.301991 0.818893
6; 2.998111 1.970852; -3.902648; ; ; 0.009008; 0.024426; 0.001937; 0.640290; 0.000000 0.000000
